id;veiculo_id;entrada;saida
1;45100;2020-12-11T13:35:00;2020-12-11T04:15:03
2;35515;2020-12-11T14:15:06;2020-12-11T16:49:07
3;51197;2020-12-11T09:30:05;2020-12-11T00:50:18
4;70388;2020-12-11T19:05:31;2020-12-11T19:57:31
5;58786;2020-12-11T03:47:31;2020-12-11T04:35:55
6;4094;2020-12-10T22:46:17;2020-12-11T18:41:13
7;67185;2020-12-11T19:54:04;2020-12-11T19:46:35
8;70093;2020-12-11T13:28:41;2020-12-11T06:20:59
9;47781;2020-12-11T04:51:42;2020-12-11T05:53:47
10;46332;2020-12-11T07:20:30;2020-12-10T22:10:31
